diffNuisances run on fitDiagnosticsM400.root, at 2021-01-20 17:30:09.866872 with the following options ... {'absolute_values': False, 'show_all_parameters': False, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': '1', 'vtol2': 2.0, 'poi': 'r'}

name                                              b-only fit            s+b fit         rho
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin21_qqWWqq         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin21_tW         +0.00, 0.67        +0.00, 0.99       +0.01
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin22_MultiV         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin22_TT         +0.00, 0.67        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin22_Wjets      ! +0.00, 0.42!        +0.00, 0.66       +0.01
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin22_WmHWWlnuqq_M125         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin22_WpHWWlnuqq_M125         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin22_ggWW         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin22_qqWWqq         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin23      ! +0.00, 0.48!        +0.00, 0.74       +0.01
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin24_MultiV         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin24_TT         +0.00, 0.67        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin24_Wjets      ! +0.00, 0.43!        +0.00, 0.66       +0.03
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin24_WpHWWlnuqq_M125         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin24_qqWWqq         +0.00, 0.68        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin24_tW         +0.00, 0.66        +0.00, 0.99       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin25      ! +0.00, 0.43!        -0.00, 0.67       +0.00
prop_bin__BoostedGGF_SB_UNTAGGED_M1500_C0.01_2016_bin26      ! +0.00, 0.45!        +0.00, 0.68       +0.05
